,Course,Description,Image,Instructor,Link,Price,Provider,Subject
0,Analyzing categorical data,"This unit covers methods for dealing with data that falls into categories. Learn how to use bar graphs, Venn diagrams, and two-way tables to see patterns and relationships in categorical data.",https://cdn.kastatic.org/genfiles/topic-icons/icons/arithmetic.png-af7472-128c.png,None,https://www.khanacademy.org/math/statistics-probability/analyzing-categorical-data,Free,Khan Academy,statistics probability
1,Displaying and comparing quantitative data,"This unit covers some basic methods for graphing distributions of quantitative data like dot plots, histograms, and stem and leaf plots. We'll also explore how to use those displays to compare the features of different distributions.",https://cdn.kastatic.org/genfiles/topic-icons/icons/data_management_probability.png-84fa5f-128c.png,None,https://www.khanacademy.org/math/statistics-probability/displaying-describing-data,Free,Khan Academy,statistics probability
2,Summarizing quantitative data,"This unit covers common measures of center like mean and median. We'll also learn to measure spread or variability with standard deviation and interquartile range, and use these ideas to determine what data can be considered an outlier.",https://cdn.kastatic.org/genfiles/topic-icons/icons/arithmetic.png-af7472-128c.png,None,https://www.khanacademy.org/math/statistics-probability/summarizing-quantitative-data,Free,Khan Academy,statistics probability
3,Modeling data distributions,"This unit takes our understanding of distributions to the next level. We'll measure the position of data within a distribution using percentiles and z-scores, we'll learn what happens when we transform data, we'll study how to model distributions with density curves, and we'll look at one of the most important families of distributions called Normal distributions.",https://cdn.kastatic.org/genfiles/topic-icons/icons/random_variables.png-9a60cf-128c.png,None,https://www.khanacademy.org/math/statistics-probability/modeling-distributions-of-data,Free,Khan Academy,statistics probability
4,Exploring bivariate numerical data,"We use scatter plots to explore the relationship between two quantitative variables, and we use regression to model the relationship and make predictions. This unit explores linear regression and how to assess the strength of linear models.",https://cdn.kastatic.org/genfiles/topic-icons/icons/regression.png-1116c0-128c.png,None,https://www.khanacademy.org/math/statistics-probability/describing-relationships-quantitative-data,Free,Khan Academy,statistics probability
5,Study design,"Statistics is all about forming questions and gathering data to explore those questions. This unit covers sampling and survey methods, observational studies, and basic experiment design.",https://cdn.kastatic.org/genfiles/topic-icons/icons/independent_dependent.png-c17e68-128c.png,None,https://www.khanacademy.org/math/statistics-probability/designing-studies,Free,Khan Academy,statistics probability
6,Probability,"Probability tells us how often some event will happen after many repeated trials. This topic covers theoretical, experimental, compound probability, permutations, combinations, and more!",https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,None,https://www.khanacademy.org/math/statistics-probability/probability-library,Free,Khan Academy,statistics probability
7,"Counting, permutations, and combinations","This unit covers methods for counting how many possible outcomes there are in various situations. We'll learn about factorial, permutations, and combinations. We'll also look at how to use these ideas to find probabilities.",https://cdn.kastatic.org/genfiles/topic-icons/icons/arithmetic.png-af7472-128c.png,None,https://www.khanacademy.org/math/statistics-probability/counting-permutations-and-combinations,Free,Khan Academy,statistics probability
8,Random variables,"Random variables can be any outcomes from some chance process, like how many heads will occur in a series of 20 flips. We calculate probabilities of random variables and calculate expected value for different types of random variables.",https://cdn.kastatic.org/genfiles/topic-icons/icons/sequences.png-cb8eda-128c.png,None,https://www.khanacademy.org/math/statistics-probability/random-variables-stats-library,Free,Khan Academy,statistics probability
9,Sampling distributions,A sampling distribution shows every possible result a statistic can take in every possible sample from a population and how often each result happens. This topic covers how sample proportions and sample means behave in repeated samples.,https://cdn.kastatic.org/genfiles/topic-icons/icons/random_variables.png-9a60cf-128c.png,None,https://www.khanacademy.org/math/statistics-probability/sampling-distributions-library,Free,Khan Academy,statistics probability
10,Confidence intervals,Confidence intervals give us a range of plausible values for some unknown value based on results from a sample. This topic covers confidence intervals for means and proportions.,https://cdn.kastatic.org/genfiles/topic-icons/icons/random_variables.png-9a60cf-128c.png,None,https://www.khanacademy.org/math/statistics-probability/confidence-intervals-one-sample,Free,Khan Academy,statistics probability
11,Significance tests (hypothesis testing),"Significance tests give us a formal process for using sample data to evaluate the likelihood of some claim about a population value. We calculate p-values to see how likely a sample result is to occur by random chance, and we use p-values to make conclusions about hypotheses.",https://cdn.kastatic.org/genfiles/topic-icons/icons/random_variables.png-9a60cf-128c.png,None,https://www.khanacademy.org/math/statistics-probability/significance-tests-one-sample,Free,Khan Academy,statistics probability
12,Two-sample inference for the difference between groups,Learn how to apply what you know about confidence intervals and significance tests to situations that involve comparing two samples to see if there is a significant difference between the two populations.,https://cdn.kastatic.org/genfiles/topic-icons/icons/random_variables.png-9a60cf-128c.png,None,https://www.khanacademy.org/math/statistics-probability/significance-tests-confidence-intervals-two-samples,Free,Khan Academy,statistics probability
13,Inference for categorical data (chi-square tests),"Chi-square tests are a family of significance tests that give us ways to test hypotheses about distributions of categorical data. This topic covers goodness-of-fit tests to see if sample data fits a hypothesized distribution, and tests for independence between two categorical variables.",https://cdn.kastatic.org/genfiles/topic-icons/icons/data_modeling.png-d46210-128c.png,None,https://www.khanacademy.org/math/statistics-probability/inference-categorical-data-chi-square-tests,Free,Khan Academy,statistics probability
14,Advanced regression (inference and transforming),Advanced regression will introduce you to regression methods when data has  a nonlinear pattern.,https://cdn.kastatic.org/genfiles/topic-icons/icons/regression.png-1116c0-128c.png,None,https://www.khanacademy.org/math/statistics-probability/advanced-regression-inference-transforming,Free,Khan Academy,statistics probability
15,Analysis of variance (ANOVA),"Analysis of variance, also called ANOVA, is a collection of methods for comparing multiple means across different groups.",https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,None,https://www.khanacademy.org/math/statistics-probability/analysis-of-variance-anova-library,Free,Khan Academy,statistics probability
16,Scatterplots,"Scatterplots show us relationships and patterns in data, and we use those patterns to make predictions.",https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,None,https://www.khanacademy.org/math/probability/scatterplots-a1,Free,Khan Academy,probability
17,Data distributions,Data makes more sense when we graph it and summarize it with numbers.,https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,None,https://www.khanacademy.org/math/probability/data-distributions-a1,Free,Khan Academy,probability
18,Two-way tables,Two-way tables show us relationships between categorical variables.,https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,None,https://www.khanacademy.org/math/probability/two-way-tables-categorical-data-a1,Free,Khan Academy,probability
21,Binomial probability,"If you roll five dice, what’s the probability that three of them show a 6? In a group of 20 strangers, what’s the probability that more than half of them were born in the summer? Learn about binomial probability to answer these types of problems.",https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,None,https://www.khanacademy.org/math/probability/binomial-probability-a2,Free,Khan Academy,probability
22,Normal distributions,A Normal distribution is a very special and common distribution that is fundamental to learning about statistics. Normal distributions describe many real world phenomena from scores on exams to lengths of wings on bugs.  ,https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,None,https://www.khanacademy.org/math/probability/normal-distributions-a2,Free,Khan Academy,probability
23,Thinking about multivariable functions,"The only thing separating multivariable calculus from ordinary calculus is this newfangled word ""multivariable"".  It means we will deal with functions whose inputs or outputs live in two or more dimensions.  Here we lay the foundations for thinking about and visualizing multivariable functions.",https://cdn.kastatic.org/genfiles/topic-icons/icons/thinking_about_multivariable_function.png-f2577f-128c.png,None,https://www.khanacademy.org/math/multivariable-calculus/thinking-about-multivariable-function,Free,Khan Academy,multivariable calculus
24,Derivatives of multivariable functions,"What does it mean to take the derivative of a function whose input lives in multiple dimensions?  What about when its output is a vector?  Here we go over many different ways to  extend the idea of a derivative to higher dimensions, including partial derivatives​, directional derivatives, the gradient, vector derivatives, divergence, curl, etc.",https://cdn.kastatic.org/genfiles/topic-icons/icons/multivariable_derivatives.png-16f374-128c.png,None,https://www.khanacademy.org/math/multivariable-calculus/multivariable-derivatives,Free,Khan Academy,multivariable calculus
25,Applications of multivariable derivatives,"The tools of partial derivatives, the gradient, etc. can be used to optimize and approximate multivariable functions.  These are very useful in practice, and to a large extent this is why people study multivariable calculus.",https://cdn.kastatic.org/genfiles/topic-icons/icons/multivariable_derivatives.png-16f374-128c.png,None,https://www.khanacademy.org/math/multivariable-calculus/applications-of-multivariable-derivatives,Free,Khan Academy,multivariable calculus
26,Integrating multivariable functions,"There are many ways to extend the idea of integration to multiple dimensions: Line integrals, double integrals, triple integrals, surface integrals, etc.  Each one lets you add infinitely many infinitely small values, where those values might come from points on a curve, points in an area, points on a surface, etc.  

These are all very powerful tools, relevant to almost all real-world applications of calculus.  In particular, they are an invaluable tool in physics.",https://cdn.kastatic.org/genfiles/topic-icons/icons/multivariable_calculus.png-ac2283-128c.png,None,https://www.khanacademy.org/math/multivariable-calculus/integrating-multivariable-functions,Free,Khan Academy,multivariable calculus
27,"Green's, Stokes', and the divergence theorems","Here we cover four different ways to extend the fundamental theorem of calculus to multiple dimensions.  Green's theorem and the 2D divergence theorem do this for two dimensions, then we crank it up to three dimensions with Stokes' theorem and the (3D) divergence theorem.",https://cdn.kastatic.org/genfiles/topic-icons/icons/multivariable_calculus.png-ac2283-128c.png,None,https://www.khanacademy.org/math/multivariable-calculus/greens-theorem-and-stokes-theorem,Free,Khan Academy,multivariable calculus
28,First order differential equations,Differential equations with only first derivatives.,https://cdn.kastatic.org/genfiles/topic-icons/icons/first_order_diff_equations.png-09c1fe-128c.png,None,https://www.khanacademy.org/math/differential-equations/first-order-differential-equations,Free,Khan Academy,differential equations
29,Second order linear equations,Linear differential equations that contain second derivatives,https://cdn.kastatic.org/genfiles/topic-icons/icons/second_order_diff_equations.png-c51db9-128c.png,None,https://www.khanacademy.org/math/differential-equations/second-order-differential-equations,Free,Khan Academy,differential equations
30,Laplace transform,Transforms and the Laplace transform in particular. Convolution integrals.,https://cdn.kastatic.org/genfiles/topic-icons/icons/laplace_transform.png-dd1669-128c.png,None,https://www.khanacademy.org/math/differential-equations/laplace-transform,Free,Khan Academy,differential equations
31,Vectors and spaces,Let's get our feet wet by thinking in terms of vectors and spaces.,https://cdn.kastatic.org/genfiles/topic-icons/icons/linear_algebra.png-341940-128c.png,None,https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces,Free,Khan Academy,linear algebra
32,Matrix transformations,Understanding how we can map one set of vectors to another set.  Matrices used to define linear transformations.,https://cdn.kastatic.org/genfiles/topic-icons/icons/matrices.png-6b50da-128c.png,None,https://www.khanacademy.org/math/linear-algebra/matrix-transformations,Free,Khan Academy,linear algebra
33,Alternate coordinate systems (bases),We explore creating and moving between various coordinate systems.,https://cdn.kastatic.org/genfiles/topic-icons/icons/linear_algebra.png-341940-128c.png,None,https://www.khanacademy.org/math/linear-algebra/alternate-bases,Free,Khan Academy,linear algebra
34,One-dimensional motion,In this tutorial we begin to explore ideas of velocity and acceleration.  We do exciting things like throw things off cliffs (far safer on paper than in real life) and see how high a ball will fly in the air.,https://cdn.kastatic.org/genfiles/topic-icons/icons/one_dimensional_motion.png-8bcf2d-128c.png,None,https://www.khanacademy.org/science/physics/one-dimensional-motion,Free,Khan Academy,physics
35,Two-dimensional motion,"You understand velocity and acceleration well in one-dimension.  Now we can explore scenarios that are even more fun.  With a little bit of trigonometry (you might want to review your basic trig, especially what sin and cos are), we can think about whether a baseball can clear the ""green monster"" at Fenway Park.",https://cdn.kastatic.org/genfiles/topic-icons/icons/two_dimensional_motion.png-c6711c-128c.png,None,https://www.khanacademy.org/science/physics/two-dimensional-motion,Free,Khan Academy,physics
36,Forces and Newton's laws of motion,This is the meat of much of classical physics.  We think about what a force is and how Newton changed the world's (and possibly your) view of how reality works.,https://cdn.kastatic.org/genfiles/topic-icons/icons/newtons_laws.png-3f796e-128c.png,None,https://www.khanacademy.org/science/physics/forces-newtons-laws,Free,Khan Academy,physics
37,Centripetal force and gravitation,"Learn about centripetal acceleration and centripetal force. Also, learn about the universal law of gravitation and gravitational orbits.",https://cdn.kastatic.org/genfiles/topic-icons/icons/atom.png-e81d05-128c.png,None,https://www.khanacademy.org/science/physics/centripetal-force-and-gravitation,Free,Khan Academy,physics
38,Work and energy,"""Energy"" is a word that's used a lot. Here, you'll learn about how it's one of the most useful concepts in physics. Along the way, we'll talk about work, kinetic energy, potential energy, conservation of energy, and mechanical advantage.",https://cdn.kastatic.org/genfiles/topic-icons/icons/work_energy.png-0265d8-128c.png,None,https://www.khanacademy.org/science/physics/work-and-energy,Free,Khan Academy,physics
39,Impacts and linear momentum,"Momentum ties velocity and mass into one quantity. It might not be obvious why this is useful, but momentum has this cool property where the total amount of it never changes. This is called the conservation of momentum, and we can use it to analyze collisions and other interactions. Bam!",https://cdn.kastatic.org/genfiles/topic-icons/icons/linear_momentum.png-2868be-128c.png,None,https://www.khanacademy.org/science/physics/linear-momentum,Free,Khan Academy,physics
40,Torque and angular momentum,"Everything you've learned about motion, forces, energy, and momentum can be reused to analyze rotating objects. There are some differences, though. Here, you'll learn about rotational motion, moments, torque, and angular momentum.",https://cdn.kastatic.org/genfiles/topic-icons/icons/torque.png-67a464-128c.png,None,https://www.khanacademy.org/science/physics/torque-angular-momentum,Free,Khan Academy,physics
41,Oscillations and mechanical waves,"Waves are responsible for basically every form of communication we use. Whether you're talking out loud, texting on your phone, or waving to someone in a crowd there's going to be a wave transmitting information. Learn about the basics of waves in this topic, then learn more about light waves in the topics below.",https://cdn.kastatic.org/genfiles/topic-icons/icons/mechanical_waves_and_sound.png-b19154-128c.png,None,https://www.khanacademy.org/science/physics/mechanical-waves-and-sound,Free,Khan Academy,physics
42,Fluids,"Atmospheric pressure is like an invisible friend who is always squeezing you with a big hug. Learn more about pressure, buoyant force, and flowing fluid so you can appreciate the sometimes invisible, but crucial, effect they have on us and the world around us.",https://cdn.kastatic.org/genfiles/topic-icons/icons/fluids.png-cd37e1-128c.png,None,https://www.khanacademy.org/science/physics/fluids,Free,Khan Academy,physics
43,Thermodynamics,"Heat can be useful, but it can also be annoying. Understanding heat and the flow of heat allows us to build heat sinks that prevent our computers from overheating, build better engines, and prevent freeway overpasses from cracking.",https://cdn.kastatic.org/genfiles/topic-icons/icons/thermodynamics.png-520ef8-128c.png,None,https://www.khanacademy.org/science/physics/thermodynamics,Free,Khan Academy,physics
44,"Electric charge, field, and potential",Electric forces hold together the atoms and molecules in your eyes which allow you to read this sentence. Take a moment and learn about the force that holds our bodies together.,https://cdn.kastatic.org/genfiles/topic-icons/icons/electric_charge-electric-force-and-voltage.png-b83cd8-128c.png,None,https://www.khanacademy.org/science/physics/electric-charge-electric-force-and-voltage,Free,Khan Academy,physics
45,Circuits,"Circuits make computers, digital cameras, and video games possible. Circuits are driving an unprecedented rate of change in how we live. In this topic you'll learn about the physics behind the electronic devices we use.",https://cdn.kastatic.org/genfiles/topic-icons/icons/circuits.png-c736f2-128c.png,None,https://www.khanacademy.org/science/physics/circuits-topic,Free,Khan Academy,physics
46,"Magnetic forces, magnetic fields, and Faraday's law","Magnetic fields are extremely useful. The magnetic field of the Earth shields us from harmful radiation from the Sun, magnetic fields allow us to diagnose medical problems using an MRI, and magnetic fields are a key component in generating electrical power in most power plants. In this topic you'll learn about the forces, fields, and laws that makes these and so many other applications possible. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/magnetic_forces_and_magnetic_fields.png-f72dfd-128c.png,None,https://www.khanacademy.org/science/physics/magnetic-forces-and-magnetic-fields,Free,Khan Academy,physics
47,Electromagnetic waves and interference,Light can seem mysterious. What is light made out of? What causes color? How do 3D movies work? Learn about some of the mysterious properties of light in these tutorials.,https://cdn.kastatic.org/genfiles/topic-icons/icons/light_waves.png-259787-128c.png,None,https://www.khanacademy.org/science/physics/light-waves,Free,Khan Academy,physics
48,Geometric optics,"Light waves can be bent and reflected to form new and sometimes altered images. Understanding how light rays can be manipulated allows us to create better contact lenses, fiber optic cables, and high powered telescopes.",https://cdn.kastatic.org/genfiles/topic-icons/icons/geometric_optics.png-c6f673-128c.png,None,https://www.khanacademy.org/science/physics/geometric-optics,Free,Khan Academy,physics
49,Special relativity ,"Think you know about time and space? Think again. Einstein basically did a pile driver on all our brains when he came up with his theory of special relativity. 
",https://cdn.kastatic.org/genfiles/topic-icons/icons/universe_scale.png-9fa814-128c.png,None,https://www.khanacademy.org/science/physics/special-relativity,Free,Khan Academy,physics
50,Quantum Physics,"Do you want to describe the microscopic world of atoms and nuclei? Well, classical physics isn't going to cut it. You'll need quantum physics to explain things like atomic energy levels, photons, and the wavelength of electrons.",https://cdn.kastatic.org/genfiles/topic-icons/icons/light_waves.png-259787-128c.png,None,https://www.khanacademy.org/science/physics/quantum-physics,Free,Khan Academy,physics
51,Discoveries and projects,Rediscover the most important Scientific observations in a historical progression,https://cdn.kastatic.org/genfiles/topic-icons/icons/torque.png-67a464-128c.png,None,https://www.khanacademy.org/science/physics/discoveries,Free,Khan Academy,physics
52,Review for AP Physics 1 exam,Studying for the AP Physics 1 exam? Watch these materials to help you review.,https://cdn.kastatic.org/genfiles/topic-icons/icons/ap_physics_1.png-649000-128c.png,None,https://www.khanacademy.org/science/physics/review-for-ap-physics-1-exam,Free,Khan Academy,physics
53,Cosmology and astronomy,"It's a great, big universe out there. In this section of Khan Academy, you'll learn about the brain-bending vastness of time and space. We go from plate tectonics here on Earth to entire galaxies and beyond. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/cosmology_astronomy.png-fef193-128c.png,None,https://www.khanacademy.org/science/cosmology-and-astronomy,Free,Khan Academy,physics
54,"Atoms, compounds, and ions","Chemistry is the study of matter, and all matter is made up of atoms. We will learn about elements, atomic number and mass, isotopes, moles (chemistry moles, not the animal), and compounds. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/atom.png-e81d05-128c.png,None,https://www.khanacademy.org/science/chemistry/atomic-structure-and-properties,Free,Khan Academy,chemistry
55,Chemical reactions and stoichiometry,"We are now going to delve into the heart of chemistry.  We learn ways of representing molecules and how molecules react.  To do this, we'll even think about ""how many"" of a molecule we have using a quantity called a ""mole"".",https://cdn.kastatic.org/genfiles/topic-icons/icons/chemical_reactions_stoichiometry.png-1dae0c-128c.png,None,https://www.khanacademy.org/science/chemistry/chemical-reactions-stoichiome,Free,Khan Academy,chemistry
56,Electronic structure of atoms,"So we know that all matter is made up of atoms, but what is an atom made out of? Chemists describe the structure of atoms using models. This section will cover the Bohr model, photoelectric effect, absorption and emission spectra, quantum numbers, and electron configurations. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/atom.png-e81d05-128c.png,None,https://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms,Free,Khan Academy,chemistry
57,Periodic table,"A little more than a century ago, the chemist Dmitri Mendeleev published an early form of the periodic table, which organizes the known elements of our world. His method of classifying the elements was so useful that we still use it even today. We will learn to apply this elegant table to an understanding of atomic structure and properties, including periodic table trends. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/periodic_table.png-c20e5e-128c.png,None,https://www.khanacademy.org/science/chemistry/periodic-table,Free,Khan Academy,chemistry
58,Chemical bonds,"Chemical bonds are the glue that hold molecules together. We will learn about the different kinds of bonds, ways chemists draw bonds and molecules, and how the type of chemical bonding affects the bulk properties of a material. We will cover electronegativity, Lewis dot structures, VSEPR, bond hybridization, and ionic, covalent, and metallic bonds. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/aromatic_compounds.png-021ca4-128c.png,None,https://www.khanacademy.org/science/chemistry/chemical-bonds,Free,Khan Academy,chemistry
59,Gases and kinetic molecular theory,"Properties of gases can be modeled using some relatively simple equations, which we can relate to the behavior of individual gas molecules. We will learn about the ideal gas law, vapor pressure, partial pressure, and the Maxwell Boltzmann distribution. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/gases_and_kinetic_molecular_theory.png-523605-128c.png,None,https://www.khanacademy.org/science/chemistry/gases-and-kinetic-molecular-theory,Free,Khan Academy,chemistry
60,States of matter and intermolecular forces,"Have you ever wondered how some insects are able to ""skate"" on the surface of water? We will learn about how intermolecular forces make this possible. We will also cover liquids, solids, mixtures, and phase changes.",https://cdn.kastatic.org/genfiles/topic-icons/icons/states_of_matter_and_intermolecular_forces.png-c3eb30-128c.png,None,https://www.khanacademy.org/science/chemistry/states-of-matter-and-intermolecular-forces,Free,Khan Academy,chemistry
61,Chemical equilibrium,"Many chemical reactions are reversible, and the forward and backward reactions can occur at the same time. When the rate of the forward reaction is equal to the rate of the backward reaction, we call that a dynamic equilibrium. We will learn how equilibrium can be described by the equilibrium constant K, and how different factors than can affect the chemical equilibrium. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/chemical_reactions.png-98e00e-128c.png,None,https://www.khanacademy.org/science/chemistry/chemical-equilibrium,Free,Khan Academy,chemistry
62,Acids and bases,"In this section we will be talking about the basics of acids and bases and how acid-base chemistry is related to chemical equilibrium. We will cover acid and base definitions, pH, acid-base equilibria, acid-base properties of salts, and the pH of salt solutions. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/acids_bases.png-b5e1c5-128c.png,None,https://www.khanacademy.org/science/chemistry/acids-and-bases-topic,Free,Khan Academy,chemistry
63,"Buffers, titrations, and solubility equilibria","We can combine our knowledge of acids and bases, equilibrium, and neutralization reactions to understand buffers and titrations. Solubility equilibria will build on concepts from solubility, precipitation, and equilibrium. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/acid_base_equilibrium.png-dbd103-128c.png,None,https://www.khanacademy.org/science/chemistry/acid-base-equilibrium,Free,Khan Academy,chemistry
65,Redox reactions and electrochemistry,"Oxidation and reduction reactions power your phone and make it possible for your body to use the oxygen you inhale. We will learn about oxidation states (numbers), oxidation-reduction (redox) reactions, galvanic/voltaic cells, electrolytic cells, cell potentials, and how electrochemistry is related to thermodynamics and equilibrium. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/oxidation_reduction.png-34adb2-128c.png,None,https://www.khanacademy.org/science/chemistry/oxidation-reduction,Free,Khan Academy,chemistry
66,Kinetics,"Chemists are often interested in how fast a reaction will occur, and what we can do to control the rate. The study of reaction rates is called kinetics, and we will learn about average reaction rate, rate laws, the Arrhenius equation, reaction mechanisms, catalysts, and spectrophotometry.",https://cdn.kastatic.org/genfiles/topic-icons/icons/chem_kinetics.png-757358-128c.png,None,https://www.khanacademy.org/science/chemistry/chem-kinetics,Free,Khan Academy,chemistry
67,Nuclear chemistry,"Ancient alchemists attempted but failed to turn different substances into gold. It turns out that the only way to turn one element into another element is using nuclear chemistry! Nuclear reactions change the composition of an atom's nucleus, and this process is useful for many applications. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/nuclear_chemistry.png-ebd8e0-128c.png,None,https://www.khanacademy.org/science/chemistry/nuclear-chemistry,Free,Khan Academy,chemistry
68,Studying for the AP Chemistry exam?,Studying for the AP Chemistry exam? Watch these videos to help you prepare!,https://cdn.kastatic.org/genfiles/topic-icons/icons/meet_a_chemistry_professional.png-d670b8-128c.png,None,https://www.khanacademy.org/science/chemistry/studying-for-ap-chemistry-exam,Free,Khan Academy,chemistry
69,Meet the chemistry professional,"What can you do with chemistry skills? A lot of things, it turns out! Learn about the diversity of careers available to people interested in chemistry. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/meet_a_chemistry_professional.png-d670b8-128c.png,None,https://www.khanacademy.org/science/chemistry/meet-a-chemistry-professional,Free,Khan Academy,chemistry
70,Organic chemistry,Sal and Jay cover topics covered in college organic chemistry course.  Basic understanding of basic high school or college chemistry assumed (although there is some review).,https://cdn.kastatic.org/genfiles/topic-icons/icons/organic_chemistry.png-fe4e7d-128c.png,None,https://www.khanacademy.org/science/organic-chemistry,Free,Khan Academy,chemistry
