,Course,Description,Image,Instructor,Link,Price,Provider,Subject
71,"Alkanes, cycloalkanes, and functional groups","The properties of organic molecules depend on the structure, and knowing the names of organic compounds allow us to communicate with other chemists. We'll be learning about different aspects of molecular structure, including common functional groups and conformations. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/alkanes.png-d8364d-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/bond-line-structures-alkanes-cycloalkanes,Free,Khan Academy,chemistry
72,Structure and bonding,"Let's review the basics of chemical bonds including dot structures, hybridization, bond-line structures, electronegativity, and polarity. We will also discuss how bonding and intermolecular forces relate to physical properties such as boiling point. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/general_chemistry.png-9fb023-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/gen-chem-review,Free,Khan Academy,organic chemistry
73,Resonance and acid-base chemistry,"Let's review how to keep track of electrons using formal charges, oxidation states, oxidation-reduction reactions, and resonance structures. We will also go over the principles of acid-base chemistry. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/organic_structures.png-c6db8e-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/organic-structures,Free,Khan Academy,organic chemistry
75,Stereochemistry," Just like how your left foot doesn't quite fit your right shoe, molecules also can have properties that depend on their handedness! This property is called chirality. We will go over what makes a molecule chiral, stereoisomers, assigning configurations using the R,S system, optical activity and Fischer projections. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/stereochemistry.png-628d6b-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/stereochemistry-topic,Free,Khan Academy,organic chemistry
76,Substitution and elimination reactions,"Sn1, Sn2, E1, and E2 reactions form the basis for understanding why certain products are more likely to form than others. We will learn about the reaction mechanisms, and how nucleophilicity and electrophilicity can be used to choose between different reaction pathways. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/substitution_elimination_reactions.png-d0725d-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/substitution-elimination-reactions,Free,Khan Academy,organic chemistry
77,Alkenes and alkynes,"Alkenes and alkynes can be transformed into almost any other functional group you can name! We will review their nomenclature, and also learn about the vast possibility of reactions using alkenes and alkynes as starting materials. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/alkenes_alkynes.png-b26952-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/alkenes-alkynes,Free,Khan Academy,organic chemistry
78,"Alcohols, ethers, epoxides, sulfides","Alcohol and thiol groups are important functional groups for applications ranging from enzyme reactions to making flexible contact lenses. We will be reviewing naming oxygen and sulfur containing compounds. Then we will be ready to learn about some reactions that involve alcohols, ethers, epoxides, thiols, and sulfides as both reactants and products. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/alcohols_ethers_epoxides_sulfides.png-02974e-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/alcohols-ethers-epoxides-sulfides,Free,Khan Academy,organic chemistry
79,Conjugated systems and pericyclic reactions,"Molecules with conjugation can undergo some interesting and useful reactions! We will be learning about the Diels-Alder reaction, including how to predict the stereochemistry and regiochemistry of the product based on the diene and dienophile.  ",https://cdn.kastatic.org/genfiles/topic-icons/icons/conjugation_diels_alder_mo_theory.png-fcd2b2-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/conjugation-diels-alder-mo-theory,Free,Khan Academy,organic chemistry
80,Aromatic compounds,"The distinctive electronic structure of aromatic leads to some distinctive reactivity! We will be covering the naming of benzene derivatives, stability of aromatic compounds, electrophilic aromatic substitution, and nucleophilic aromatic substitution. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/aromatic_compounds.png-021ca4-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/aromatic-compounds,Free,Khan Academy,organic chemistry
81,Aldehydes and ketones,"Aldehydes and ketones can be starting materials for a range of other functional groups. We will be learning about the nomenclature and reactions of aldehydes and ketones, including how to use acetals as protecting groups. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/aldehydes_ketones.png-193daa-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/aldehydes-ketones,Free,Khan Academy,organic chemistry
82,Carboxylic acids and derivatives,"Did you know that many fruit aromas including banana (isoamyl acetate) and pineapple (ethyl butanoate) come from molecules containing ester groups? These compounds can be synthesized from carboxylic acids using a reaction called Fischer esterification. We will be covering naming carboxylic acids, as well as the diverse chemistry of carboxylic acid derivatives such as acid chlorides, amides, esters, and anhydrides. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/carboxylic_acids.png-ad5c92-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/carboxylic-acids-derivatives,Free,Khan Academy,organic chemistry
83,Alpha carbon chemistry,"The carbon that is one carbon away from an aldehyde or ketone group is the alpha carbon. The deceptively innocuous hydrogens bonded to the alpha carbon can be involved in some classic organic chemistry reactions such as aldol condensations. We will be learning about the formation of enolate anions, and how they can be used in Aldol condensations to build complex organic molecules. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/organic_chemistry.png-fe4e7d-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/ochem-alpha-carbon-chemistry,Free,Khan Academy,organic chemistry
84,Amines,"Amines are found in many biologically active molecules. Two examples are the charmingly named putrescine and cadaverine, which are formed by the breakdown of amino acids. We will be discussing the IUPAC nomenclature of amines. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/amines.png-f88a42-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/amines-topic,Free,Khan Academy,organic chemistry
85,Spectroscopy,"Spectroscopy is the study of how light interacts with matter. We can use spectroscopy to determine the structure and functional groups in organic compounds. We will be learning about how to use IR, UV/Vis, and NMR spectroscopy.",https://cdn.kastatic.org/genfiles/topic-icons/icons/spectroscopy_jay.png-1b57a5-128c.png,None,https://www.khanacademy.org/science/organic-chemistry/spectroscopy-jay,Free,Khan Academy,organic chemistry
86,Intro to biology,New to biology? You're in the right place! Start your biological journey here.,https://cdn.kastatic.org/genfiles/topic-icons/icons/classical_genetics.png-b39283-128c.png,None,https://www.khanacademy.org/science/biology/intro-to-biology,Free,Khan Academy,biology
87,Chemistry of life,"Learn how chemistry makes life possible! From you, to your dog, to your dinner, to the global ecosystem, all living systems are made out of atoms that obey the basic rules of chemistry. Here, you can learn about the key properties of atoms, including what particles they contain, how they are organized, and how they form chemical bonds with one another.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/chemistry--of-life,Free,Khan Academy,biology
88,"Water, acids, and bases","Where would we be without water? Well, we probably wouldn't exist at all!  Learn more about this fascinating molecule: its hydrogen bonds, its properties, and why it's a key ingredient for biological systems of all sizes. Plus, brush up on the acid-base chemistry that takes place in water (and learn how it works in your own bloodstream)!",https://cdn.kastatic.org/genfiles/topic-icons/icons/acids_bases.png-b5e1c5-128c.png,None,https://www.khanacademy.org/science/biology/water-acids-and-bases,Free,Khan Academy,biology
89,Properties of carbon,"Did you know that your body is approximately 18% carbon? Learn more about carbon and why it makes a great building block for biological molecules. We'll look at the bonding properties of carbon, the structures of hydrocarbons, different types of isomerism, and some functional groups important in biology.",https://cdn.kastatic.org/genfiles/topic-icons/icons/properties_of_carbon.png-b461c3-128c.png,None,https://www.khanacademy.org/science/biology/properties-of-carbon,Free,Khan Academy,biology
90,Macromolecules,"There's an old saying, ""You are what you eat."" In some senses, this is literally true! When we eat food, we take in the large biological molecules found in the food, including carbohydrates, proteins, lipids (such as fats), and nucleic acids (such as DNA), and use them to power our cells and build our bodies. Dive into the different types of macromolecules, what they are made up of, and how they are built up and broken down.",https://cdn.kastatic.org/genfiles/topic-icons/icons/macromolecules.png-ca6c6c-128c.png,None,https://www.khanacademy.org/science/biology/macromolecules,Free,Khan Academy,biology
91,Energy and enzymes,"You, like other living systems, are an amazing energy transformer. As you move your eyes to read these words, your body is busily converting chemical energy from your lunch into kinetic energy and thermal energy (heat). Learn more about how biological energy transfers work, as well as how protein machines called enzymes direct metabolic traffic through your cells.",https://cdn.kastatic.org/genfiles/topic-icons/icons/energy_and_enzymes.jpg-cafbb4-128c.jpeg,None,https://www.khanacademy.org/science/biology/energy-and-enzymes,Free,Khan Academy,biology
92,Structure of a cell,"You, my friend, are made up of cells. Lots and lots of them. Some of them are eukaryotic (human), but many more of them are prokaryotic, thanks to the friendly bacteria of your gut, skin, and other body systems. Jump in to learn more about prokaryotic and eukaryotic cells and the complex and beautiful structures inside of them.",https://cdn.kastatic.org/genfiles/topic-icons/icons/cells.png-104e92-128c.png,None,https://www.khanacademy.org/science/biology/structure-of-a-cell,Free,Khan Academy,biology
93,Membranes and transport,"How do the cells in your body define their boundaries (and control what comes in or goes out)? As it turns out, cells have a sophisticated and flexible barrier, the plasma membrane, and a wide array of strategies for transporting molecules in and out. Learn more about what the membrane's made of and how different types of molecules move across it.",https://cdn.kastatic.org/genfiles/topic-icons/icons/membranes_and_transport.png-4845e1-128c.png,None,https://www.khanacademy.org/science/biology/membranes-and-transport,Free,Khan Academy,biology
94,Cellular respiration,"How do your cells extract energy from the food that you eat? As it turns out, cells have a network of elegant metabolic pathways dedicated to just this task. Learn more about cellular respiration, fermentation, and other processes that extract energy from fuel molecules like glucose.",https://cdn.kastatic.org/genfiles/topic-icons/icons/cellular_respiration_and_fermentation.png-cd79d8-128c.png,None,https://www.khanacademy.org/science/biology/cellular-respiration-and-fermentation,Free,Khan Academy,biology
95,Photosynthesis,"There's a lot of carbon in your body - in DNA, proteins, carbohydrates, fats, and other key biological molecules. How did that carbon get there? Drumroll... photosynthesis! Learn how plants and other photosynthetic organisms use light energy to make sugars from carbon dioxide and water, bringing both chemical energy and readily usable carbon into Earth’s global ecosystem.",https://cdn.kastatic.org/genfiles/topic-icons/icons/photosynthesis_in_plants.png-801b8e-128c.png,None,https://www.khanacademy.org/science/biology/photosynthesis-in-plants,Free,Khan Academy,biology
96,Cell signaling,"Did you know that your cells are continually ""talking"" to one another? Cells communicate by sending and receiving chemical signals. This molecular conversation allows the cells in your body to coordinate their activities, forming a functional, harmonious whole (a.k.a., you!). Learn more about the remarkable process of cell signaling.",https://cdn.kastatic.org/genfiles/topic-icons/icons/cell_signaling.png-520820-128c.png,None,https://www.khanacademy.org/science/biology/cell-signaling,Free,Khan Academy,biology
97,Cell division,"All living things, including you, are made up of cells. Find out how cells divide through mitosis and meiosis, how the cell cycle is controlled, and how problems in cell cycle control can lead to cancer.",https://cdn.kastatic.org/genfiles/topic-icons/icons/cellular_molecular_biology.png-d20de7-128c.png,None,https://www.khanacademy.org/science/biology/cellular-molecular-biology,Free,Khan Academy,biology
98,Classical and molecular genetics,"Have you ever been told that you have your mother's eyes or grandfather's nose? Learn why traits run in families and how they're passed on. We'll look at Mendel's model of inheritance, see how it's been revised and extended in the past 150 years, and get a sneak preview of the modern concept of a gene.",https://cdn.kastatic.org/genfiles/topic-icons/icons/classical_genetics.png-b39283-128c.png,None,https://www.khanacademy.org/science/biology/classical-genetics,Free,Khan Academy,biology
99,DNA as the genetic material,"What exactly is DNA? This seemingly simple polymer, made up of just four different types of monomers, serves as the genetic material for all living organisms. For example, your DNA provides instructions for building and maintaining your unique body and can be passed on if you have children. Learn more about the discovery, structure, and synthesis of this remarkable molecule.",https://cdn.kastatic.org/genfiles/topic-icons/icons/cells.png-104e92-128c.png,None,https://www.khanacademy.org/science/biology/dna-as-the-genetic-material,Free,Khan Academy,biology
100,Central dogma (DNA to RNA to protein),"How does a gene in your DNA provide instructions for building a protein? In gene expression, a DNA sequence is first copied to make an RNA molecule, which is then ""decoded"" to build a protein. Learn more about this remarkable process, shared by all living things.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/gene-expression-central-dogma,Free,Khan Academy,biology
101,Gene regulation,"You have tens of thousands of genes in your genome. Does that mean your cells express all of those genes, all the time? Not by a long shot! Even an organism as simple as a bacterium must carefully regulate gene expression, ensuring that the right genes are expressed at the right time. Learn more about the mechanisms cells use to turn genes ""on"" and ""off.""",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/gene-regulation,Free,Khan Academy,biology
102,Biotechnology,"What is biotechnology? Well, if you've ever taken the antibiotic penicillin or eaten bread made with yeast, you've experienced it firsthand! Biotechnology is the use of a living organism, or some component of a living system, to make a useful product. Learn more about modern biotechnology and how it is used in research and biomedical applications.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/biotech-dna-technology,Free,Khan Academy,biology
103,Developmental biology,"Did you know that a frog starts out as a single cell? In fact, so do dogs, elephants, and even human beings! Learn how multicellular organisms end up with many different cell types, organized into the tissues and organs of the body.",https://cdn.kastatic.org/genfiles/topic-icons/icons/hematologic_system.png-25cdc3-128c.png,None,https://www.khanacademy.org/science/biology/developmental-biology,Free,Khan Academy,biology
104,Bacteria and archaea,"They're everywhere. They number in the millions of trillions of trillions. They live on every surface, in every environment, and even in your gut. That's right...I'm talking about prokaryotes! Learn more about bacteria and archaea.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/bacteria-archaea,Free,Khan Academy,biology
105,Viruses,"Viruses: Are they alive? Are they dead? Are they...undead? Learn more about these fascinating (and clinically important) particles that occupy a ""gray area"" between living and non-living things.",https://cdn.kastatic.org/genfiles/topic-icons/icons/infectious_diseases.png-5035b7-128c.png,None,https://www.khanacademy.org/science/biology/biology-of-viruses,Free,Khan Academy,biology
106,Evolution and the tree of life,"Discover the diversity of life on Earth and the forces that shape it! In this section, you can learn about evolution, natural selection, and the tree of life, as well as basic population genetics. Special bonus: take a peek into the amazing worlds of bacteria and viruses.",https://cdn.kastatic.org/genfiles/topic-icons/icons/evolution.png-f8de01-128c.png,None,https://www.khanacademy.org/science/biology/her,Free,Khan Academy,biology
107,History of life on Earth,"Our planet has an amazing history spanning about 4.5 billion years! Learn more about how Earth formed, the early history of life on Earth, and the origins of humans.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/history-of-life-on-earth,Free,Khan Academy,biology
108,Ecology,"Why are polar bears found only in the Arctic? Why does mildew grow in your shower and not (hopefully) in your sock drawer? Learn how ecologists study the interactions between organisms and their environment, and how these interactions affect where, and in what numbers, different types of organisms are found.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/ecology,Free,Khan Academy,biology
109,Biodiversity and conservation,"From penguins to palm trees to bacteria, our planet is host to an awe-inspiring diversity of organisms. Dive deep into Earth's breathtaking biodiversity, learn why this biodiversity is in peril today, and discover what you can do to protect the species and ecosystems that support human life on Earth. This content is provided by the California Academy of Sciences.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/biodiversity-and-conservation,Free,Khan Academy,biology
110,Behavioral biology,"What do a dog begging for food, and ant leaving a chemical trail to food, and a human baby learning language all have in common? These are all examples of behaviors. Behavior is a crucial way that animals interact with each other and with their environment. Learn more about types of animal behaviors and how behavior is shaped by genes and environment.",https://cdn.kastatic.org/genfiles/topic-icons/icons/mental_health.png-885be5-128c.png,None,https://www.khanacademy.org/science/biology/behavioral-biology,Free,Khan Academy,biology
111,Principles of physiology,"How is your body organized? How do your organ systems work together to keep you running? What keeps your blood at the right pH or your body at the right temperature? Learn more about tissues, organs, and organ systems and the control mechanisms that keep internal conditions steady in humans and other animals.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/principles-of-physiology,Free,Khan Academy,biology
112,Human biology,"Your body is an amazing system! The human body is made up of groups of organs, called organ systems, that work together to keep the body in balance. In this section, we'll travel from the circulatory system, to the nervous system, to the immune system and beyond. Learn about the amazing biology that keeps your body ticking!",https://cdn.kastatic.org/genfiles/topic-icons/icons/human_biology.png-8372af-128c.png,None,https://www.khanacademy.org/science/biology/human-biology,Free,Khan Academy,biology
113,Plant biology,"Plants may seem less interactive than animals. But they actually have many ways of responding to their environment, changing their growth or physiology to make the best use of available resources. Learn more about plants and their response to environmental cues.",https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,None,https://www.khanacademy.org/science/biology/plant-biology,Free,Khan Academy,biology
114,Crash Course: Biology and Ecology,"Brush up on a wide range of biology topics, from biochemistry to mitosis to ecology, with fun and informative Crash Course videos!",https://cdn.kastatic.org/genfiles/topic-icons/icons/crash_course.jpg-f2d8cc-128c.jpeg,None,https://www.khanacademy.org/science/biology/crash-course-bio-ecology,Free,Khan Academy,biology
115,Meet the biology professional,"Do you enjoy your biology class, like nature, have an interest in medicine, or simply feel lots of curiosity about living things? If so, you may be thinking about focusing on or majoring in biology. Learn more about what it's like to be a biologist by hearing from professionals in a wide range of fields, from primatology to personalized genetics to high school teaching!",https://cdn.kastatic.org/genfiles/topic-icons/icons/meet_a_chemistry_professional.png-d670b8-128c.png,None,https://www.khanacademy.org/science/biology/meet-the-biology-professional,Free,Khan Academy,biology
116,Biology foundations,An introduction to biology along with some of the chemistry basics to help you understand the beauty of life!,https://cdn.kastatic.org/genfiles/topic-icons/icons/science.png-3b6492-128c.png,None,https://www.khanacademy.org/science/high-school-biology/biology-foundations,Free,Khan Academy,high school biology
117,Cells,,https://cdn.kastatic.org/genfiles/topic-icons/icons/science.png-3b6492-128c.png,None,https://www.khanacademy.org/science/high-school-biology/hs-cells,Free,Khan Academy,high school biology
118,Cellular transport,,https://cdn.kastatic.org/genfiles/topic-icons/icons/science.png-3b6492-128c.png,None,https://www.khanacademy.org/science/high-school-biology/hs-cellular-transport,Free,Khan Academy,high school biology
119,Energy and metabolism,,https://cdn.kastatic.org/genfiles/topic-icons/icons/science.png-3b6492-128c.png,None,https://www.khanacademy.org/science/high-school-biology/hs-energy-and-metabolism,Free,Khan Academy,high school biology
120,Reproduction and cell division,,https://cdn.kastatic.org/genfiles/topic-icons/icons/science.png-3b6492-128c.png,None,https://www.khanacademy.org/science/high-school-biology/hs-reproduction-and-cell-division,Free,Khan Academy,high school biology
121,Human body systems,,https://cdn.kastatic.org/genfiles/topic-icons/icons/science.png-3b6492-128c.png,None,https://www.khanacademy.org/science/high-school-biology/hs-human-body-systems,Free,Khan Academy,high school biology
122,Scale of the universe,"Things in our universe can be unimaginably large and small.  In this topic, we'll try to imagine the unimaginable!",https://cdn.kastatic.org/genfiles/topic-icons/icons/universe_scale.png-9fa814-128c.png,None,https://www.khanacademy.org/science/cosmology-and-astronomy/universe-scale-topic,Free,Khan Academy,cosmology and astronomy
123,"Stars, black holes and galaxies",Our universe is defined by stars.  This topic explores how they came to be and where they end up.  This includes a discussion of black holes and galaxies.,https://cdn.kastatic.org/genfiles/topic-icons/icons/stellar_life.jpg-223af0-128c.jpeg,None,https://www.khanacademy.org/science/cosmology-and-astronomy/stellar-life-topic,Free,Khan Academy,cosmology and astronomy
124,Earth geological and climatic history,What is the Earth made up of and how do we know?  What causes the seasons?  Are there longer-ranging cycles in Earth's climate?,https://cdn.kastatic.org/genfiles/topic-icons/icons/earth_history.jpg-a98879-128c.jpeg,None,https://www.khanacademy.org/science/cosmology-and-astronomy/earth-history-topic,Free,Khan Academy,cosmology and astronomy
125,Life on earth and in the universe,When and how did life emerge on Earth?  How did humanity develop a civilization?  Is there other intelligent life out there?,https://cdn.kastatic.org/genfiles/topic-icons/icons/life_on_earth.jpg-e68c89-128c.jpeg,None,https://www.khanacademy.org/science/cosmology-and-astronomy/life-earth-universe,Free,Khan Academy,cosmology and astronomy
126,Introduction to electrical engineering,"A summary of the math and science preparation that will help you have the best experience with electrical engineering taught on Khan Academy. Become familiar with engineering numbers and notation, and learn about the two most important electrical quantities: current and voltage.",https://cdn.kastatic.org/genfiles/topic-icons/icons/electrical_engineering.png-da92ce-128c.png,None,https://www.khanacademy.org/science/electrical-engineering/introduction-to-ee,Free,Khan Academy,electrical engineering
127,Circuit analysis,"Circuit analysis is the process of finding all the currents and voltages in a network of connected components. We look at the basic elements used to build circuits, and find out what happens when elements are connected together into a circuit. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/electrical_engineering.png-da92ce-128c.png,None,https://www.khanacademy.org/science/electrical-engineering/ee-circuit-analysis-topic,Free,Khan Academy,electrical engineering
128,Amplifiers,"Amplifiers make signals bigger. Amplification is often the most basic operation of an electronic circuit. There are many kinds of amplifier designs. We will describe the operational amplifier, the building block of most analog electronics. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/electrical_engineering.png-da92ce-128c.png,None,https://www.khanacademy.org/science/electrical-engineering/ee-amplifiers,Free,Khan Academy,electrical engineering
129,Semiconductor devices,,https://cdn.kastatic.org/genfiles/topic-icons/icons/electrical_engineering.png-da92ce-128c.png,None,https://www.khanacademy.org/science/electrical-engineering/ee-semiconductor-devices,Free,Khan Academy,electrical engineering
130,Electrostatics,"Electrostatics is the study of forces between charges, as described by Coulomb's Law. We develop the concept of an electric field surrounding charges. We work through examples of the electric field near a line, and near a plane, and develop formal definitions of both *electric potential* and *voltage*.",https://cdn.kastatic.org/genfiles/topic-icons/icons/electrical_engineering.png-da92ce-128c.png,None,https://www.khanacademy.org/science/electrical-engineering/ee-electrostatics,Free,Khan Academy,electrical engineering
131,Signals and systems,"Signals and Systems covers analog and digital signal processing, ideas at the heart of modern communication and measurement. We present the basic concepts for continuous-time and discrete-time signals in the time and frequency domains. Time and frequency are related by the Fourier transform. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/electrical_engineering.png-da92ce-128c.png,None,https://www.khanacademy.org/science/electrical-engineering/ee-signals,Free,Khan Academy,electrical engineering
132,Home-made robots,"Start your own robotics project with Spout, Spider, and Bit-zee!",https://cdn.kastatic.org/genfiles/topic-icons/icons/discoveries.png-57bbe3-128c.png,None,https://www.khanacademy.org/science/electrical-engineering/robots,Free,Khan Academy,electrical engineering
133,Lego robotics,Introduction to the Lego NXT robotics platform,https://cdn.kastatic.org/genfiles/topic-icons/icons/electrical_engineering.png-da92ce-128c.png,None,https://www.khanacademy.org/science/electrical-engineering/lego-robotics,Free,Khan Academy,electrical engineering
134,Reverse engineering,Videos exploring the way things work.,https://cdn.kastatic.org/genfiles/topic-icons/icons/reverse_engineering.jpg-7b7afc-128c.jpeg,None,https://www.khanacademy.org/science/electrical-engineering/reverse-engin,Free,Khan Academy,electrical engineering
135,GDP: Measuring national income,Circular flow of income and expenditure.  Gross domestic product.,https://cdn.kastatic.org/genfiles/topic-icons/icons/gdp.png-998a41-128c.png,None,https://www.khanacademy.org/economics-finance-domain/macroeconomics/gdp-topic,Free,Khan Academy,macroeconomics
136,Inflation - measuring the cost of living,Inflation and deflation.  CPI-U. Real and nominal return.  Phillips Curve.,https://cdn.kastatic.org/genfiles/topic-icons/icons/inflation.png-19c585-128c.png,None,https://www.khanacademy.org/economics-finance-domain/macroeconomics/inflation-topic,Free,Khan Academy,macroeconomics
137,Aggregate demand and aggregate supply,Aggregate demand and aggregate supply. Keynesian thinking. Demand-pull and cost-push inflation.  Fiscal and monetary policy.,https://cdn.kastatic.org/genfiles/topic-icons/icons/aggregate_demand_supply.png-d218ed-128c.png,None,https://www.khanacademy.org/economics-finance-domain/macroeconomics/aggregate-supply-demand-topic,Free,Khan Academy,macroeconomics
138,The monetary system,Fractional reserve banking and the money supply.,https://cdn.kastatic.org/genfiles/topic-icons/icons/monetary_system.png-516782-128c.png,None,https://www.khanacademy.org/economics-finance-domain/macroeconomics/monetary-system-topic,Free,Khan Academy,macroeconomics
139,Income and expenditure: Keynesian cross and IS-LM model,Consumption function.  Marginal propensity to consume and multiplier.  Keynesian Cross and IS-LM model.,https://cdn.kastatic.org/genfiles/topic-icons/icons/income_expenditure.png-d7ed16-128c.png,None,https://www.khanacademy.org/economics-finance-domain/macroeconomics/income-and-expenditure-topic,Free,Khan Academy,macroeconomics
140,Foreign exchange and trade,Balance of payments.  Current account.  Capital account.  Currency reserves and speculative attacks.,https://cdn.kastatic.org/genfiles/topic-icons/icons/foreign_exchange.png-28cfaf-128c.png,None,https://www.khanacademy.org/economics-finance-domain/macroeconomics/forex-trade-topic,Free,Khan Academy,macroeconomics
